1	US	223		
2	US	7261	20716	511
3	CA	37231	30157	524
4	US	10904	95835	862
5	MX	138315	29474	519
6	US	7167	10118	501
7	BR	120899	61443	682
8	US	15310	2478	506
9	US	6643	43209	535
10	US	2703	94043	807
11	CA	986	30083	524
12	US	9621	34293	539
13	MX	116750	13069	555
14	US	118817	44432	536
15	BR	1459	77002	618
16	US	1596	75080	623
17	US	223		
18	US	223		
19	US	223		
20	US	869	20109	511
21	US	9908	97007	820
22	US	692	10021	501
23	US	7445	75270	623
24	US	37311	85375	753
25	US	38820	7631	501
26	US	816	4401	537
27	US	9498	76010	623
28	US	117321	49031	588
29	US	9732	27614	560
30	US	9811	30101	524
31	US	7746	29732	517
32	CA	5075	48121	505
33	US	47165	35094	630
34	MX	3843	6340	533
35	US	3559	90014	803
36	BR	15276	86314	753
37	US	1797	14221	514
38	US	135764	45850	558
39	US	223		
40	US	11159	12180	532
41	US	3653	10605	501
42	US	134014	31005	503
43	US	2475	28105	517
44	US	271275	77407	618
45	US	7167	10118	501
46	US	223		
47	US	5293	31768	525
48	US	115178	47331	527
49	US	223		
50	US	9767	46323	602
51	US	223		
52	US	4356	14094	514
53	US	4751		
54	US	1953	97204	820
55	US	16667	99223	881
56	US	223		
57	US	1232	85204	753
58	US	119853	4043	500
59	CA	118401	11426	501
60	US	2280	20850	511
61	MX	672	8837	501
62	US	223		
63	BR	11172	32220	561
64	US	1604	44124	510
65	US	120155	21009	512
66	US	52443	55379	613
67	US	2703	94043	807
68	US	223		
69	US	5902	40403	541
70	US	33062	71909	693
71	US	2471	27360	518
72	US	115952	37066	659
73	US	4751		
74	LU	1388	70816	716
75	AT	4751		
76	NL	1296	95023	828
77	BE	38980	10803	501
78	RO	223		
79	CZ	122233	33823	539
80	SK	5072	48310	505
81	ES	1621	32801	534
82	US	223		
83	FI	12110	23602	544
84	US	122270	7020	501
85	CA	821	60440	602
86	GB	223		
87	MX	223		
88	US	4442	95133	807
89	BR	130913	18433	577
90	US	2525	11791	501
